BWB_Powerup_Generic,"你與${RestraintName}的羈絆加深了一點！"
BWB_Powerup_1st,"你注意到你已經戴著${RestraintName}有一段時間了。"
BWB_Powerup_Low,"戴著${RestraintName}越來越舒服了。"
BWB_Powerup_Medium,"要不要給${RestraintName}取個可愛的暱稱？（在物品欄）"
BWB_Powerup_High,"也許永遠不摘下${RestraintName}也沒什麼不好。"
BWB_Powerup_XHigh,"你覺得${RestraintName}已經成為你身體的一部分了。"
BWB_Powerup_TooHigh,"你甚至不記得沒戴${RestraintName}是什麼感覺了。"
BWB_LockUrge,"你有一種想鎖上的衝動……"
BWB_SelfLock_Medium,"你把${RestraintName}鎖上了，以防萬一。"
BWB_SelfLock_High,"你把${RestraintName}鎖得很牢固！"
BWB_SelfLock_XHigh,"你把${RestraintName}鎖上，感覺安全多了！"
BWB_NoCut,"不行！剪開會毀掉${RestraintName}！"
BWB_NoStruggle,"不行！掙扎可能會毀掉${RestraintName}！"
BWB_NoUnlock,"你不想脫下它，鎖著更安全。"
BWB_NoRemove,"不，太舒服了。"
BWB_Equip1,"回到它該在的位置了。"
BWB_Equip2,"它怎麼會脫下來的？"
BWB_InventoryAction_Rename,"給它取個暱稱（留空重置）"
KDModButtonBWB,"與束縛的羈絆"
KDModButtonBWB_AlwaysAllowRenaming,"總是允許重命名束縛物"
